body_part,equipment,name,target,secondary_muscles_full,difficulty,sets,reps
lower body,"bodyweight, weight plate",bodyweight plate assisted hip airplane,glutes,"gluteus medius, gluteus minimus",intermediate,3,12-15
full body,macebell,macebell battle lunge,quadriceps,"quadriceps femoris, gluteus maximus, obliques",intermediate,3,12-15
full body,kettlebell,single arm kettlebell tactical half snatch,glutes,"gluteus maximus, biceps femoris, anterior deltoids ",advanced,4,10-12
lower body,heavy sandbag,heavy sandbag shoulder ipsilateral forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
upper body,barbell,barbell tall kneeling cuban rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",intermediate,3,12-15
upper body,barbell,barbell cuban rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",intermediate,3,15-18
upper body,landmine,alternating single arm landmine tall kneeling shoulder press,shoulders,anterior deltoids,intermediate,4,12-15
lower body,barbell,barbell feet elevated glute bridge,glutes,"gluteus maximus, biceps femoris, erector spinae",intermediate,3,12-15
full body,kettlebell,single arm kettlebell tactical snatch to overhead squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,8-10
upper body,bodyweight,bodyweight push up to alternating lateral kick through,pectorals,"pectoralis major, rectus abdominis",intermediate,4,12-15
lower body,dumbbell,double dumbbell single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,3,12-15
lower body,dumbbell,single arm dumbbell contralateral single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,4,12-15
lower body,dumbbell,dumbbell crush grip single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,3,15-18
upper body,clubbell,alternating double clubbell pullover,back,"latissimus dorsi, posterior deltoids, triceps brachii",beginner,3,12-15
upper body,barbell,barbell tall kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,dumbbell,dumbbell tall kneeling overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",beginner,2,10-12
full body,clubbell,clubbell inside circle to shield cast,shoulders,"posterior deltoids, rectus abdominis, gluteus maximus",advanced,5,8-10
full body,clubbell,alternating single arm clubbell inside circle to shield cast,shoulders,"posterior deltoids, rectus abdominis, gluteus maximus",advanced,4,10-12
full body,kettlebell,alternating single arm kettlebell snatch to overhead squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,8-10
lower body,"cable, bench (flat)",cable prone bench single leg hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,2,10-12
upper body,dumbbell,double dumbbell tall kneeling cuban rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",beginner,3,10-12
upper body,macebell,macebell single leg standing bent knee 360,shoulders,"posterior deltoids, rectus abdominis",advanced,4,8-10
upper body,macebell,single arm macebell single leg standing bent knee ipsilateral 360,shoulders,"posterior deltoids, rectus abdominis",advanced,5,8-10
upper body,macebell,alternating single arm macebell 360 to ballistic curl,shoulders,"posterior deltoids, biceps brachii, rectus abdominis",intermediate,4,12-15
lower body,dumbbell,double dumbbell suitcase reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,barbell,barbell front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,barbell,barbell overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
full body,heavy sandbag,heavy sandbag bear hug reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,heavy sandbag,heavy sandbag shoulder contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,barbell,barbell back rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,kettlebell,double kettlebell suitcase reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,kettlebell,double kettlebell front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,kettlebell,double kettlebell bottoms up front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,dumbbell,double dumbbell front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,dumbbell,double dumbbell overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,dumbbell,single arm dumbbell suitcase contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,dumbbell,single arm dumbbell front rack contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,dumbbell,single arm dumbbell overhead contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,kettlebell,double kettlebell overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,dumbbell,dumbbell goblet reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,clubbell,clubbell order reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,clubbell,double clubbell order reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,clubbell,single arm clubbell order contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,macebell,macebell order reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,kettlebell,double kettlebell bottoms up overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,kettlebell,single arm kettlebell suitcase contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,bodyweight,bodyweight reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,bulgarian bag,bulgarian bag back rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,sandbag,sandbag front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,weight plate,plate overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,kettlebell,single arm kettlebell front rack contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,kettlebell,single arm kettlebell bottoms up front rack contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,kettlebell,single arm kettlebell overhead contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,kettlebell,single arm kettlebell bottoms up overhead contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,kettlebell,kettlebell goblet reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,kettlebell,kettlebell horn grip reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,barbell,barbell zercher reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,8-10
lower body,dumbbell,single arm dumbbell suitcase ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,dumbbell,single arm dumbbell front rack ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,dumbbell,single arm dumbbell overhead ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,clubbell,single arm clubbell order ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,kettlebell,single arm kettlebell suitcase ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,kettlebell,single arm kettlebell front rack ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,kettlebell,single arm kettlebell bottoms up front rack ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,kettlebell,single arm kettlebell overhead ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,kettlebell,single arm kettlebell bottoms up overhead ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,heavy sandbag,heavy sandbag shoulder ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,macebell,single arm macebell order walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,macebell,single arm macebell order alternating lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,macebell,single arm macebell order alternating forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,macebell,single arm macebell order alternating reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,macebell,single arm macebell order alternating curtsy lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,macebell,single arm macebell order contralateral curtsy lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,macebell,single arm macebell order ipsilateral curtsy lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,macebell,single arm macebell order contralateral forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,macebell,single arm macebell order ipsilateral forward lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,macebell,single arm macebell order contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,macebell,single arm macebell order ipsilateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
upper body,"cable, bench (incline)",single arm cable incline bench preacher curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,kettlebell,double kettlebell seesaw bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,3,10-12
upper body,dumbbell,double dumbbell seesaw bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,2,10-12
upper body,"barbell, bench (incline)",barbell spider curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
lower body,"sliders, kettlebell ",slider kettlebell horn grip reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,superband,superband good morning,back,"erector spinae , gluteus maximus, biceps femoris",beginner,2,12-15
lower body,trap bar,trap bar feet elevated calf raise,calves,"gastrocnemius, soleus, tibialis anterior",intermediate,3,12-15
lower body,superband,superband prone single leg hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,3,12-15
lower body,"superband, bench (flat)",superband prone bench single leg hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,3,10-12
upper body,"barbell, bench (flat)",barbell seated cuban rotation,shoulders,"posterior deltoids, infraspinatus, teres minor",intermediate,3,15-18
upper body,cable,cable rope pullover,back,latissimus dorsi,beginner,3,12-15
upper body,kettlebell,kettlebell close grip push up,triceps,"triceps brachii , pectoralis major",beginner,2,10-12
upper body,kettlebell,kettlebell kneeling close grip push up,triceps,"triceps brachii, pectoralis major",beginner,2,10-12
upper body,"kettlebell, bench (flat)",kettlebell feet elevated close grip push up,triceps,"triceps brachii, pectoralis major",intermediate,3,15-18
upper body,barbell,barbell close grip incline push up,triceps,"triceps brachii, pectoralis major, anterior deltoids",beginner,2,12-15
core,kettlebell,kettlebell goblet march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,2,10-12
core,dumbbell,dumbbell goblet march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,3,12-15
core,dumbbell,dumbbell crush grip overhead march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",intermediate,4,12-15
core,cable,cable pallof press,abdominals,"obliques, rectus abdominis",beginner,2,12-15
core,gymnastic rings,single ring pallof press,abdominals,"obliques, rectus abdominis",intermediate,3,12-15
lower body,kettlebell,kettlebell low hold foot elevated cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,12-15
upper body,"barbell, bench (flat)",barbell seated overhead tricep extension,triceps,"triceps brachii, anterior deltoids, rectus abdominis",intermediate,3,15-18
upper body,barbell,barbell standing overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",intermediate,3,12-15
upper body,barbell,barbell tall kneeling overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",intermediate,3,12-15
lower body,miniband,miniband thigh kneeling side plank hip abduction,abductors,"gluteus medius, gluteus minimus, tensor fasciae latae",beginner,3,10-12
core,bodyweight,bodyweight crunch,abdominals,"rectus abdominis, iliopsoas, obliques",beginner,2,12-15
core,bodyweight,bodyweight reverse crunch,abdominals,"rectus abdominis, iliopsoas, obliques",beginner,2,12-15
upper body,bodyweight,bodyweight dips,triceps,"triceps brachii , pectoralis major, anterior deltoids",intermediate,3,15-18
upper body,"dumbbell, bench (incline)",single arm dumbbell incline bench powell raise,shoulders,"posterior deltoids, rhomboids, trapezius",beginner,3,12-15
core,cable,cable rope half kneeling rotation,abdominals,"obliques, rectus abdominis",intermediate,4,15-18
full body,cable,cable rope isometric split squat rotation,abdominals,"obliques, quadriceps femoris",advanced,5,8-10
upper body,dumbbell,double dumbbell tall kneeling cuban press,shoulders,"posterior deltoids, infraspinatus, upper trapezius",beginner,2,10-12
lower body,heavy sandbag,heavy sandbag bear hug good morning,back,"erector spinae , gluteus maximus, biceps femoris",intermediate,4,12-15
full body,heavy sandbag,heavy sandbag clean to overhead press,shoulders,"anterior deltoids, triceps brachii, gluteus maximus",intermediate,4,15-18
lower body,"kettlebell, bench (flat)",kettlebell horn grip bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,kettlebell,kettlebell horn grip split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,kettlebell,kettlebell horn grip knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,3,12-15
lower body,kettlebell,kettlebell horn grip foot elevated knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,3,12-15
lower body,kettlebell,kettlebell goblet cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,12-15
lower body,kettlebell,kettlebell horn grip alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,2,10-12
lower body,kettlebell,kettlebell horn grip foot elevated cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,2,10-12
lower body,kettlebell,kettlebell horn grip low switch cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,12-15
lower body,kettlebell,kettlebell horn grip cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,10-12
lower body,kettlebell,kettlebell horn grip squat,quadriceps,"quadriceps femoris, gluteus maximus",beginner,3,10-12
lower body,"kettlebell, bench (flat)",single arm kettlebell overhead contralateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,"kettlebell, bench (flat)",single arm kettlebell overhead ipsilateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,dumbbell,double dumbbell low hold lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,barbell,barbell front rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,15-18
lower body,barbell,barbell overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,4,10-12
full body,heavy sandbag,heavy sandbag bear hug lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps brachii",intermediate,3,12-15
lower body,heavy sandbag,heavy sandbag shoulder contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,barbell,barbell back rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,15-18
lower body,kettlebell,double kettlebell suitcase lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,double kettlebell front rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,double kettlebell bottoms up front rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,dumbbell,double dumbbell front rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,dumbbell,double dumbbell overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,15-18
lower body,dumbbell,single arm dumbbell suitcase contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,dumbbell,single arm dumbbell front rack contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,dumbbell,single arm dumbbell overhead contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,kettlebell,double kettlebell overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,15-18
lower body,dumbbell,dumbbell goblet lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,clubbell,clubbell order lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,clubbell,double clubbell order lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,clubbell,single arm clubbell order contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,macebell,macebell order lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,kettlebell,double kettlebell bottoms up overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,4,8-10
lower body,kettlebell,single arm kettlebell suitcase contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,bodyweight,bodyweight lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,bulgarian bag,bulgarian bag back rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,sandbag,sandbag front rack lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,weight plate,plate overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,kettlebell,single arm kettlebell front rack contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,kettlebell,single arm kettlebell bottoms up front rack contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,kettlebell,single arm kettlebell overhead contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,kettlebell,single arm kettlebell bottoms up overhead contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,4,8-10
lower body,kettlebell,kettlebell goblet lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,kettlebell,kettlebell horn grip lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,barbell,barbell zercher lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,4,8-10
lower body,dumbbell,single arm dumbbell front rack ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,dumbbell,single arm dumbbell overhead ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,clubbell,single arm clubbell order ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,kettlebell,single arm kettlebell front rack ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,12-15
lower body,kettlebell,single arm kettlebell bottoms up front rack ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,12-15
lower body,kettlebell,single arm kettlebell overhead ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,15-18
lower body,kettlebell,single arm kettlebell bottoms up overhead ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",advanced,4,8-10
lower body,heavy sandbag,heavy sandbag shoulder ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,4,15-18
lower body,macebell,single arm macebell order contralateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
lower body,macebell,single arm macebell order ipsilateral lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,10-12
full body,kettlebell,alternating single arm kettlebell clean to push press,shoulders,"anterior deltoids, gluteus maximus",intermediate,3,15-18
full body,kettlebell,alternating single arm kettlebell clean to overhead press,shoulders,"anterior deltoids, gluteus maximus",intermediate,4,15-18
full body,kettlebell,alternating single arm kettlebell clean to front rack squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
upper body,landmine,single arm landmine half kneeling ipsilateral shoulder press,shoulders,anterior deltoids,intermediate,3,12-15
lower body,stability ball,stability ball copenhagen plank,adductors,adductor magnus,intermediate,3,15-18
full body,kettlebell,double kettlebell gorilla clean,glutes,gluteus maximus,advanced,4,8-10
core,stability ball,stability ball side plank,abdominals,"obliques, rectus abdominis",intermediate,4,15-18
core,stability ball,stability ball mountain climber,abdominals,"rectus abdominis, iliopsoas, anterior deltoids",intermediate,4,12-15
upper body,"kettlebell, bench (flat)",kettlebell horn grip seated bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
full body,kettlebell,alternating single arm kettlebell clean to bent press,shoulders,"anterior deltoids, gluteus maximus",intermediate,3,12-15
full body,kettlebell,single arm kettlebell clean to bent press,shoulders,"anterior deltoids, gluteus maximus",intermediate,3,15-18
lower body,"kettlebell, bench (flat)",single arm kettlebell copenhagen plank,adductors,adductor magnus,intermediate,3,15-18
lower body,suspension trainer,suspension copenhagen plank,adductors,adductor magnus,intermediate,4,15-18
lower body,"kettlebell, bench (flat)",single arm kettlebell bent knee copenhagen plank,adductors,adductor magnus,intermediate,3,12-15
lower body,"kettlebell, bench (flat)",single arm kettlebell bottoms up bent knee copenhagen plank,adductors,adductor magnus,intermediate,3,12-15
core,suspension trainer,suspension kneeling rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",intermediate,4,15-18
upper body,kettlebell,kettlebell horn grip tall kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,10-12
upper body,kettlebell,kettlebell horn grip half kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,kettlebell,double kettlebell bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,"kettlebell, bench (flat)",double kettlebell seated bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,10-12
upper body,kettlebell,alternating double kettlebell bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,"kettlebell, bench (flat)",alternating double kettlebell seated bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,kettlebell,single arm kettlebell bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,"kettlebell, bench (flat)",single arm kettlebell seated bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,10-12
upper body,"dumbbell, bench (incline)",single arm dumbbell incline bench bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,"kettlebell, bench (incline)",alternating double kettlebell incline bench bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,"kettlebell, bench (incline)",double kettlebell incline bench bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,10-12
upper body,"kettlebell, bench (incline)",single arm kettlebell incline bench bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,kettlebell,alternating double kettlebell tall kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,kettlebell,double kettlebell tall kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,kettlebell,single arm kettlebell tall kneeling bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,dumbbell,single arm dumbbell half kneeling concentration curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,10-12
lower body,sled,sled push,quadriceps,"quadriceps femoris, gluteus maximus, gastrocnemius",intermediate,4,15-18
upper body,"sled, battle ropes",sled rope pull,back,"latissimus dorsi, biceps brachii, brachioradialis",intermediate,4,12-15
upper body,"sled, battle ropes",sled rope seated pull,back,"latissimus dorsi, biceps brachii, brachioradialis",intermediate,3,15-18
lower body,"sled, suspension trainer",sled forward drag,quadriceps,"quadriceps femoris, gluteus maximus, gastrocnemius",intermediate,4,12-15
core,kettlebell,single arm kettlebell front rack march,hip flexors,"iliopsoas, rectus abdominis, gluteus medius",beginner,2,10-12
full body,kettlebell,single arm kettlebell tactical clean to push jerk,shoulders,"anterior deltoids, gluteus maximus",advanced,4,8-10
full body,kettlebell,single arm kettlebell tactical clean to thruster,shoulders,"anterior deltoids, gluteus maximus, quadriceps femoris",advanced,5,10-12
full body,kettlebell,single arm kettlebell tactical clean to split jerk,shoulders,"anterior deltoids, gluteus maximus",advanced,5,10-12
full body,kettlebell,single arm kettlebell tactical clean to push press,shoulders,"anterior deltoids, gluteus maximus",advanced,4,8-10
full body,kettlebell,single arm kettlebell tactical clean to overhead press,shoulders,"anterior deltoids, gluteus maximus",advanced,5,8-10
full body,kettlebell,single arm kettlebell tactical clean to front rack squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
full body,kettlebell,single arm kettlebell tactical clean to bent press,shoulders,"anterior deltoids, gluteus maximus",advanced,4,8-10
upper body,"cable, bench (incline)",cable straight bar incline bench tricep pushdown,triceps,"triceps brachii , anconeus, brachioradialis",beginner,3,10-12
upper body,barbell,barbell tall kneeling reverse grip bicep curl,forearms,"brachioradialis, biceps brachii, brachialis",beginner,2,12-15
